Company,Role Title,Location,Country,Type,Source Website,Application Link,Date Found,Relevance Score
Amazon,"Applied Scientist Intern, AI/ML (London)",London,United Kingdom,Summer Internship,Amazon Jobs,https://www.amazon.jobs/en/business_categories/student-programs,2026-04-18,6
Spotify,"Data Science Placement - London, 12 Months",London,United Kingdom,Industrial Placement,Spotify Careers,https://lifeatspotify.com/jobs,2026-04-18,6
DeepMind,Research Engineer Internship (London),London,United Kingdom,Summer Internship,DeepMind Careers,https://deepmind.google/about/careers/,2026-04-18,6
Deliveroo,Product Manager Intern,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,Deliveroo Jobs,https://careers.deliveroo.co.uk/internships/,2026-04-18,5
Google,"Software Engineering Intern, Summer",Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,Google Careers,https://careers.google.com/jobs/results/,2026-04-18,5
Barclays,Quantitative Analytics Summer Internship,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,Barclays Careers,https://home.barclays/careers/students-graduates/,2026-04-18,5
Bloomberg,Analytics & Sales Industrial Placement,Multiple/Unknown (UK/EU),Multiple/Unknown,Industrial Placement,Bloomberg Careers,https://www.bloomberg.com/company/careers/early-career/,2026-04-18,5
Goldman Sachs,"Summer Analyst - Global Investment Research, London",London,United Kingdom,Summer Internship,GS Careers,https://www.goldmansachs.com/careers/students/programs/,2026-04-18,4
Monzo,International Tax & Transfer Pricing Manager London,London,United Kingdom,Summer Internship,https://boards.greenhouse.io/monzo,https://job-boards.greenhouse.io/monzo/jobs/7748684,2026-04-18,4
Revolut,International Transfers,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,https://www.revolut.com/careers/,https://www.revolut.com/international-transfers/,2026-04-18,3
Revolut,International Money Transfers,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,https://www.revolut.com/careers/,https://www.revolut.com/money-transfer/,2026-04-18,3
GSK,Engineering,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/engineering/,2026-04-18,2
HSBC,Email a link to this page,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,mailto:?Subject=Students%20and%20graduates&Body=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates,2026-04-18,2
HSBC,International Wealth and Premier Banking,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/our-business-areas-and-teams/international-wealth-and-premier-banking,2026-04-18,1
GSK,Internships and placements,Multiple/Unknown (UK/EU),Multiple/Unknown,Industrial Placement,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/internships-and-placements/,2026-04-18,1
GSK,Fraudulent internet recruitment activities,Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/how-we-hire/fraudulent-internet-recruitment-activities/,2026-04-18,1
Vodafone,Internet of Things (IoT),Multiple/Unknown (UK/EU),Multiple/Unknown,Summer Internship,https://careers.vodafone.com,https://careers.vodafone.com/our-teams/iot/,2026-04-18,1
Vodafone,Industrial placements,Multiple/Unknown (UK/EU),Multiple/Unknown,Industrial Placement,https://careers.vodafone.com,https://careers.vodafone.com/students-graduates/industrial-placements/,2026-04-18,1
GSK,Commercial,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/commercial/,2026-04-18,0
HSBC,Find a programme,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/find-a-programme,2026-04-18,0
HSBC,FAQs,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/faqs,2026-04-18,0
HSBC,Application guide,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/application-guide,2026-04-18,0
HSBC,Events,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/events,2026-04-18,0
GSK,Manufacturing sciences & technology,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/manufacturing-sciences-technology/,2026-04-18,0
GSK,Digital & tech,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/digital-tech/,2026-04-18,0
HSBC,Schools and apprenticeships,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/schools-and-apprenticeships,2026-04-18,0
GSK,Research & development,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/research-development/,2026-04-18,0
HSBC,"Transcript of Choose a world of opportunity, download Transcript (PDF 78KB) (opens in new window) Transcript ( pdf 78KB)",Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/-/files/hsbc/careers/students-and-graduates/pdf/260401-choose-a-world-of-opportunity-video-transcript.pdf?download=1,2026-04-18,0
GSK,Business operations,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/business-operations/,2026-04-18,0
GSK,Manufacturing & supply,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.gsk.com/en-gb/careers,https://www.gsk.com/en-gb/careers/early-careers/graduate-programme/manufacturing-supply/,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/investment-banking,2026-04-18,0
HSBC,Share on WhatsApp Open in new window,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,whatsapp://send?text=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates,2026-04-18,0
HSBC,Share on Facebook Messenger Open in new window,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,fb-messenger://share/?link=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates&app_id=123456789,2026-04-18,0
HSBC,Share on LinkedIn Open in new window,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,http://www.linkedin.com/shareArticle?url=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates&title=Students%20and%20graduates,2026-04-18,0
HSBC,Share on X Open in new window,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://twitter.com/intent/tweet?url=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/business-analysis-and-consulting,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/data-analytics,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/relationship-management,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/cyber,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/engineering,2026-04-18,0
HSBC,Join now,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://mycareer.hsbc.com/studentsandgraduates,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/sales-and-investments,2026-04-18,0
HSBC,Learn more,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/trading,2026-04-18,0
HSBC,Share on Facebook Open in new window,Multiple/Unknown (UK/EU),Multiple/Unknown,Internship,https://www.hsbc.com/careers/students-and-graduates,https://www.facebook.com/sharer/sharer.php?u=https%3a%2f%2fwww.hsbc.com%2fcareers%2fstudents-and-graduates,2026-04-18,0
