Company,Raw Role Title,Application Link,Source Website,Date Found
Monzo,International Tax & Transfer Pricing Manager London,https://job-boards.greenhouse.io/monzo/jobs/7748684,https://boards.greenhouse.io/monzo,2026-04-18
Revolut,Graduate Marketing Manager (Growth) Office : Dubai · Lisbon · London · Madrid Remote : France · Germany · Porto · Portugal · Spain · Spain · UAE · UK,https://www.revolut.com/careers/position/graduate-marketing-manager-growth-e3a04206-f0e0-4ffa-a876-bb1eb5268832/,https://www.revolut.com/careers/,2026-04-18
Revolut,International Money Transfers,https://www.revolut.com/money-transfer/,https://www.revolut.com/careers/,2026-04-18
Revolut,International Transfers,https://www.revolut.com/international-transfers/,https://www.revolut.com/careers/,2026-04-18
HSBC,Students and graduates,https://www.hsbc.com/careers/students-and-graduates,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,University students and graduates,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Schools and apprenticeships,https://www.hsbc.com/careers/students-and-graduates/schools-and-apprenticeships,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Events,https://www.hsbc.com/careers/students-and-graduates/events,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Application guide,https://www.hsbc.com/careers/students-and-graduates/application-guide,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,FAQs,https://www.hsbc.com/careers/students-and-graduates/faqs,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Find a programme,https://www.hsbc.com/careers/students-and-graduates/find-a-programme,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,International Wealth and Premier Banking,https://www.hsbc.com/careers/our-business-areas-and-teams/international-wealth-and-premier-banking,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,"Transcript of Choose a world of opportunity, download Transcript (PDF 78KB) (opens in new window) Transcript ( pdf 78KB)",https://www.hsbc.com/-/files/hsbc/careers/students-and-graduates/pdf/260401-choose-a-world-of-opportunity-video-transcript.pdf?download=1,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Learn more,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/investment-banking,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
HSBC,Learn more,https://www.hsbc.com/careers/students-and-graduates/university-students-and-graduates/trading,https://www.hsbc.com/careers/students-and-graduates,2026-04-18
